03-05-2006
PERIODO ,      .75 
AMORTIGUAMIENTO ,            .05 
CONDICIONES INICIALES,      Xo = ,         0            , Vo = ,       0 
ELASTICO
SISMO --> ,   11  Chile                  Mar  3/85   Vi¤a del Mar                  N-S
TIEMPO seg,   AT (g) ,      ACE (g) ,     VEL (m/s),    DES (m),      FZA (1/W)
0,0,0,0,0,0
.005,-.001295,0,3.174903E-05,5.291505E-08,3.787004E-07
.01,-.0004793,-1.078763E-05,7.49844E-05,3.366342E-07,2.409211E-06
.015,.0000408,-1.262295E-05,8.516099E-05,7.476611E-07,5.350832E-06
.02,.0012543,-1.540267E-05,5.272242E-05,1.117219E-06,7.995668E-06
.025,.0022638,-7.953797E-06,-3.410215E-05,1.184242E-06,8.475336E-06
.03,.0031815,7.167133E-06,-1.676218E-04,6.983723E-07,4.998084E-06
.035,.004395,3.140104E-05,-3.524265E-04,-5.774512E-07,-4.13268E-06
.04,.00517,6.895714E-05,-5.844675E-04,-2.904619E-06,-2.078767E-05
.045,.0050884,1.174741E-04,-8.313981E-04,-6.446941E-06,-4.613922E-05
.045,.0050884,1.17474E-04,-8.313983E-04,-6.446944E-06,-4.613924E-05
.05,.0055473,1.720973E-04,-1.08505E-03,-1.122981E-05,-8.036903E-05
.055,.0062305,2.391207E-04,-1.363721E-03,-1.733914E-05,-1.240921E-04
.06,.0067505,3.197433E-04,-1.668269E-03,-2.491014E-05,-1.782759E-04
.065,.0061489,4.130678E-04,-1.966553E-03,-3.401139E-05,-2.434114E-04
.07,.0050782,5.108382E-04,-2.219153E-03,-4.449953E-05,-3.184725E-04
.075,.0050476,6.105977E-04,-2.439909E-03,-5.614986E-05,-4.018511E-04
.08,.0047927,7.20074E-04,-2.648537E-03,-6.887841E-05,-4.929463E-04
.085,.0037831,8.346113E-04,-2.820671E-03,-8.25744E-05,-5.909653E-04
.09,.0037526,9.477999E-04,-2.961722E-03,-9.703333E-05,-6.944443E-04
.095,.0053433,1.067648E-03,-3.135311E-03,-1.122458E-04,-8.033167E-04
.1,.0057512,1.205013E-03,-3.351592E-03,-1.284576E-04,-9.193402E-04
.105,.0057308,1.348622E-03,-3.570486E-03,-1.457661E-04,-1.043213E-03
.11,.0070258,1.498197E-03,-3.81344E-03,-1.642025E-04,-1.175158E-03
.115,.0066384,1.665394E-03,-4.07088E-03,-1.839247E-04,-1.316305E-03
.12,.0049252,1.834935E-03,-4.268564E-03,-2.048117E-04,-1.465789E-03
.125,.0047723,1.998843E-03,-4.412323E-03,-2.265204E-04,-1.621153E-03
.13,.0044868,2.170027E-03,-4.537118E-03,-2.489034E-04,-1.781342E-03
.135,3.518003E-03,2.343029E-03,-4.622723E-03,-2.718263E-04,-1.945395E-03
.135,.003518,2.343026E-03,-4.622724E-03,-2.718263E-04,-1.945396E-03
.14,.002947,2.511675E-03,-4.662203E-03,-2.950537E-04,-2.111629E-03
.145,.0020292,2.678946E-03,-4.656946E-03,-3.183737E-04,-2.278525E-03
.15,1.570401E-03,2.839708E-03,-4.609897E-03,-3.415535E-04,-2.444417E-03
.15,.0015704,2.839706E-03,-4.609897E-03,-3.415536E-04,-2.444417E-03
.155,.0020802,2.996758E-03,-4.556307E-03,-3.644618E-04,-2.608366E-03
.16,.0019273,3.155999E-03,-4.503713E-03,-3.871183E-04,-2.770513E-03
.165,1.560201E-03,3.310189E-03,-4.430686E-03,-4.094649E-04,-2.930442E-03
.165,.0015602,3.310188E-03,-4.430685E-03,-4.094649E-04,-2.930443E-03
.17,.0016621,3.458626E-03,-4.343737E-03,-4.314019E-04,-3.08744E-03
.175,.0016417,3.604849E-03,-4.251562E-03,-4.528936E-04,-3.241251E-03
.18,.0016213,3.746643E-03,-4.151326E-03,-4.739041E-04,-3.391618E-03
.18,.0016213,3.746643E-03,-4.151326E-03,-4.739041E-04,-3.391619E-03
.185,.001499,3.884039E-03,-4.040747E-03,-4.943896E-04,-3.538228E-03
.19,.0017437,4.01593E-03,-3.926566E-03,-5.143055E-04,-3.680762E-03
.195,.0023963,4.145195E-03,-3.827982E-03,-5.336812E-04,-3.819429E-03
.2,.0024473,4.274563E-03,-3.740307E-03,-5.526035E-04,-3.954852E-03
.2,.0024473,4.274563E-03,-3.740306E-03,-5.526036E-04,-3.954852E-03
.205,.0028246,4.398962E-03,-3.65691E-03,-5.710914E-04,-4.087165E-03
.21,.0034364,4.522448E-03,-3.591686E-03,-5.892029E-04,-4.216784E-03
.215,1.560206E-03,4.646636E-03,-3.489391E-03,-6.069465E-04,-4.343771E-03
.215,.0015602,4.64663E-03,-3.48939E-03,-6.069465E-04,-4.343771E-03
.22,-.0002345,4.751089E-03,-3.291492E-03,-6.239375E-04,-4.465371E-03
.225,-.0004793,4.83908E-03,-3.038874E-03,-6.397702E-04,-4.578683E-03
.23,-1.743696E-03,4.920085E-03,-2.745112E-03,-6.542577E-04,-4.682366E-03
.23,-.0017437,4.920081E-03,-2.745111E-03,-6.542577E-04,-4.682366E-03
.235,-.0030795,4.981345E-03,-2.384113E-03,-6.671093E-04,-4.774342E-03
.24,-.0040891,5.022486E-03,-1.963103E-03,-6.779988E-04,-4.852275E-03
.245,-5.934694E-03,5.044065E-03,-1.470556E-03,-6.866211E-04,-4.913983E-03
.245,-.0059347,5.04406E-03,-1.470555E-03,-6.866211E-04,-4.913983E-03
.25,-.0057206,5.036612E-03,-9.376627E-04,-6.926371E-04,-4.957038E-03
.255,-.0036404,5.016197E-03,-4.617021E-04,-6.960926E-04,-4.981768E-03
.26,-.0037118,4.993877E-03,-3.603814E-05,-6.97338E-04,-4.990681E-03
.265,-.00362,4.950946E-03,3.875259E-04,-6.964565E-04,-4.984372E-03
.27,-2.559506E-03,4.893979E-03,7.803905E-04,-6.935138E-04,-4.963313E-03
.27,-.0025595,4.893985E-03,7.803927E-04,-6.935138E-04,-4.963313E-03
.275,-.0019477,4.83096E-03,1.129317E-03,-6.887258E-04,-4.929046E-03
.28,-.0012135,4.757819E-03,1.441903E-03,-6.822813E-04,-4.882924E-03
.285,-.0005506,4.677898E-03,1.716484E-03,-6.743701E-04,-4.826306E-03
.29,.0002243,4.591761E-03,1.951744E-03,-6.65182E-04,-4.760548E-03
.295,.0010197,4.501849E-03,2.14419E-03,-6.54924E-04,-4.687135E-03
.3,8.872008E-04,4.409594E-03,2.315918E-03,-6.437746E-04,-4.607341E-03
