CALCULO_DEL_ESPECTRO											
ACELEROGRAMA_=	                 C:\Documents and Settings\Juan Manuel\Escritorio\FUK000_AT2.txt										
ARCHIVO_=	C:\Documents and Settings\Juan Manuel\Escritorio\Interaccion Suelo Estructura\FU										

ACELERACION_MAXIMA_ORIGINAL=	0.03369	 g									
CONSTANTE NORMALIZACION_=	1										
ACELERACION_MAXIMA_=	0.03369	 g									
ACELERACION_MAXIMA_=	0.33034	 m/s2									
ESPECTRO_DE_ACELERACIONES_(m/s2_y_g)											
PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20	PERIODO	x=0.02	x=0.05	x=0.08	x=0.10	x=0.20
0.02	0.3327	0.3324	0.3319	0.3316	0.3308	0.02	0.0339	0.0339	0.0338	0.0338	0.0337
0.04	0.3332	0.333	0.3329	0.3328	0.3324	0.04	0.034	0.034	0.0339	0.0339	0.0339
0.06	0.3419	0.3407	0.3401	0.3397	0.3379	0.06	0.0349	0.0347	0.0347	0.0346	0.0345
0.08	0.3506	0.35	0.3492	0.3482	0.3442	0.08	0.0358	0.0357	0.0356	0.0355	0.0351
0.1	0.3897	0.3628	0.3565	0.3565	0.3554	0.1	0.0397	0.037	0.0364	0.0364	0.0362
0.12	0.4013	0.3798	0.372	0.371	0.3688	0.12	0.0409	0.0387	0.0379	0.0378	0.0376
0.14	0.6	0.4967	0.4552	0.4426	0.4007	0.14	0.0612	0.0506	0.0464	0.0451	0.0409
0.16	0.7403	0.5699	0.4976	0.4675	0.399	0.16	0.0755	0.0581	0.0507	0.0477	0.0407
0.18	0.5105	0.4525	0.4186	0.4019	0.3897	0.18	0.0521	0.0461	0.0427	0.041	0.0397
0.2	0.5578	0.4859	0.435	0.4135	0.3941	0.2	0.0569	0.0495	0.0444	0.0422	0.0402
0.22	0.7524	0.5853	0.5042	0.476	0.414	0.22	0.0767	0.0597	0.0514	0.0485	0.0422
0.24	0.7903	0.5944	0.5195	0.4876	0.4149	0.24	0.0806	0.0606	0.053	0.0497	0.0423
0.26	0.7396	0.5766	0.5204	0.4914	0.4077	0.26	0.0754	0.0588	0.0531	0.0501	0.0416
0.28	0.9146	0.5985	0.5224	0.4927	0.4114	0.28	0.0933	0.061	0.0533	0.0502	0.042
0.3	0.8984	0.5806	0.5016	0.4711	0.4129	0.3	0.0916	0.0592	0.0512	0.048	0.0421
0.32	0.8458	0.5898	0.5076	0.4885	0.4202	0.32	0.0862	0.0601	0.0518	0.0498	0.0429
0.34	0.8406	0.6538	0.5822	0.5455	0.4298	0.34	0.0857	0.0667	0.0594	0.0556	0.0438
0.36	0.8774	0.721	0.644	0.5965	0.4443	0.36	0.0895	0.0735	0.0657	0.0608	0.0453
0.38	0.9892	0.823	0.699	0.6363	0.4515	0.38	0.1009	0.0839	0.0713	0.0649	0.046
0.4	1.1685	0.8642	0.7156	0.6513	0.461	0.4	0.1192	0.0881	0.073	0.0664	0.047
0.42	1.0442	0.8886	0.7823	0.7141	0.5036	0.42	0.1065	0.0906	0.0798	0.0728	0.0514
0.44	1.3821	1.053	0.8693	0.7818	0.5299	0.44	0.1409	0.1074	0.0886	0.0797	0.054
